TRAINING RESULTS
==================================================

Final Metrics:
  Final Train Loss:     0.2206
  Final Val Loss:       0.2368
  Final Train IoU:      0.6325
  Final Val IoU:        0.6185
  Final Train Dice:     0.7657
  Final Val Dice:       0.7458
  Final Train Accuracy: 0.8096
  Final Val Accuracy:   0.8086
==================================================

Best Results:
  Best Val IoU:      0.6238 (Epoch 85)
  Best Val Dice:     0.7494 (Epoch 43)
  Best Val Accuracy: 0.8129 (Epoch 43)
  Lowest Val Loss:   0.2368 (Epoch 50)
==================================================

Per-Epoch History:
----------------------------------------------------------------------------------------------------
Epoch    Train Loss   Val Loss     Train IoU    Val IoU      Train Dice   Val Dice     Train Acc    Val Acc     
----------------------------------------------------------------------------------------------------
1        0.3462       0.3302       0.5116       0.5015       0.6660       0.6444       0.7035       0.7011      
2        0.3031       0.3076       0.5499       0.5015       0.6991       0.6759       0.7403       0.7398      
3        0.2898       0.2976       0.5582       0.5370       0.7060       0.6854       0.7475       0.7484      
4        0.2793       0.2918       0.5649       0.5370       0.7118       0.6887       0.7527       0.7507      
5        0.2729       0.2872       0.5622       0.5483       0.7095       0.6879       0.7500       0.7500      
6        0.2695       0.2783       0.5994       0.5483       0.7394       0.7175       0.7843       0.7831      
7        0.2646       0.2771       0.5945       0.5515       0.7357       0.7124       0.7797       0.7764      
8        0.2603       0.2737       0.5767       0.5515       0.7216       0.7021       0.7631       0.7645      
9        0.2567       0.2692       0.5869       0.5502       0.7295       0.7115       0.7724       0.7740      
10       0.2552       0.2619       0.5985       0.5502       0.7390       0.7172       0.7820       0.7800      
11       0.2516       0.2626       0.5926       0.5853       0.7341       0.7141       0.7772       0.7763      
12       0.2494       0.2640       0.5793       0.5853       0.7234       0.7039       0.7651       0.7636      
13       0.2451       0.2569       0.6038       0.5794       0.7433       0.7226       0.7860       0.7847      
14       0.2436       0.2566       0.6103       0.5794       0.7484       0.7263       0.7918       0.7898      
15       0.2425       0.2546       0.6068       0.5666       0.7457       0.7244       0.7890       0.7883      
16       0.2414       0.2513       0.6104       0.5666       0.7484       0.7273       0.7918       0.7897      
17       0.2395       0.2516       0.6110       0.5780       0.7490       0.7315       0.7923       0.7951      
18       0.2406       0.2535       0.6059       0.5780       0.7449       0.7227       0.7876       0.7846      
19       0.2385       0.2516       0.6075       0.5845       0.7462       0.7269       0.7895       0.7902      
20       0.2367       0.2553       0.6238       0.5845       0.7589       0.7367       0.8034       0.8016      
21       0.2367       0.2552       0.6214       0.5813       0.7571       0.7348       0.8011       0.7993      
22       0.2352       0.2496       0.6188       0.5813       0.7550       0.7314       0.7991       0.7944      
23       0.2347       0.2493       0.6160       0.5686       0.7528       0.7311       0.7967       0.7935      
24       0.2340       0.2464       0.6201       0.5686       0.7562       0.7372       0.7998       0.8007      
25       0.2335       0.2479       0.6170       0.5907       0.7538       0.7349       0.7971       0.7974      
26       0.2327       0.2446       0.6146       0.5907       0.7518       0.7293       0.7954       0.7924      
27       0.2323       0.2481       0.6219       0.5952       0.7575       0.7377       0.8016       0.8011      
28       0.2320       0.2447       0.6186       0.5952       0.7550       0.7346       0.7985       0.7966      
29       0.2312       0.2459       0.6245       0.5930       0.7596       0.7397       0.8036       0.8030      
30       0.2297       0.2432       0.6208       0.5930       0.7565       0.7318       0.8006       0.7947      
31       0.2294       0.2445       0.6265       0.5963       0.7612       0.7383       0.8051       0.8014      
32       0.2287       0.2431       0.6214       0.5963       0.7571       0.7339       0.8006       0.7960      
33       0.2300       0.2455       0.6202       0.6018       0.7563       0.7318       0.7993       0.7936      
34       0.2286       0.2433       0.6183       0.6018       0.7548       0.7321       0.7980       0.7942      
35       0.2280       0.2407       0.6164       0.5912       0.7534       0.7305       0.7963       0.7921      
36       0.2245       0.2394       0.6286       0.5912       0.7627       0.7409       0.8065       0.8039      
37       0.2243       0.2386       0.6308       0.5958       0.7645       0.7398       0.8082       0.8029      
38       0.2252       0.2401       0.6376       0.5958       0.7695       0.7489       0.8140       0.8128      
39       0.2252       0.2373       0.6361       0.6083       0.7684       0.7429       0.8128       0.8059      
40       0.2239       0.2375       0.6244       0.6083       0.7595       0.7334       0.8022       0.7955      
41       0.2239       0.2419       0.6309       0.6053       0.7646       0.7450       0.8078       0.8083      
42       0.2234       0.2430       0.6338       0.6053       0.7667       0.7448       0.8111       0.8075      
43       0.2225       0.2393       0.6358       0.6012       0.7682       0.7494       0.8122       0.8129      
44       0.2227       0.2394       0.6271       0.6012       0.7616       0.7388       0.8055       0.8015      
45       0.2225       0.2368       0.6266       0.6008       0.7613       0.7371       0.8046       0.7996      
46       0.2218       0.2405       0.6392       0.6008       0.7709       0.7459       0.8151       0.8094      
47       0.2220       0.2397       0.6341       0.6084       0.7672       0.7454       0.8107       0.8083      
48       0.2207       0.2384       0.6336       0.6084       0.7666       0.7428       0.8105       0.8057      
49       0.2219       0.2380       0.6312       0.6050       0.7644       0.7405       0.8089       0.8031      
50       0.2206       0.2368       0.6325       0.6050       0.7657       0.7458       0.8096       0.8086      
